language,chunk_size,speaker,wer,cer,comet-score,stt_time,tt_time,tts_time,total_time
en,4000,speaker_10,0.07894736842105263,0.06350025813113061,0.7617331147193909,"[550.11, 514.5, 592.37, 469.73, 557.56, 612.33, 615.23, 556.47, 598.68, 504.8, 574.87, 564.85, 574.78, 1192.44, 1418.83, 1171.66, 940.57, 785.45, 798.29, 878.51, 601.16, 628.07, 559.24, 607.06, 569.07, 558.92, 674.84, 649.01, 602.98, 492.04]","[1233.62, 1369.84, 1185.31, 909.35, 900.15, 1346.12, 1750.71, 1829.6, 1442.22, 1146.96, 1278.74, 1566.12, 1547.21, 1305.08, 1835.68, 2195.25, 1888.77, 1413.53, 1844.83, 1623.51, 1415.71, 1534.24, 1115.69, 1357.95, 1543.61, 1140.68, 1099.01, 1354.68, 1709.96, 1143.93]","[16554.09, 4682.42, 4009.57, 2927.54, 3250.95, 5505.66, 5221.12, 5679.76, 8645.81, 6894.04, 8826.09, 5985.54, 5072.18, 4573.25, 5107.94, 6380.91, 2942.22, 6739.7, 7304.27, 3804.49, 5391.31, 9817.43, 2567.12, 6351.26, 3726.21, 4123.96, 2615.58, 5033.95, 4818.71, 2742.25]","[22394.28, 23012.22, 22938.76, 21797.17, 20358.41, 21798.22, 22947.39, 24569.27, 29155.47, 31787.98, 36350.54, 38265.91, 39269.41, 39778.9, 40610.23, 42863.98, 41732.88, 44183.61, 47427.79, 47160.17, 48486.96, 54238.66, 52737.04, 55015.98, 54442.96, 54500.6, 53055.61, 53826.85, 54567.33, 55477.51]"
en,4500,speaker_1,0.11392405063291139,0.07757296466973887,0.674084484577179,"[611.61, 609.0, 594.06, 579.55, 616.5, 504.8, 564.58, 553.4, 808.27, 1354.36, 667.97, 913.12, 631.08, 621.87, 559.5, 536.93, 524.92, 518.01, 687.42, 635.99, 519.69, 608.12, 605.59, 1689.95]","[1229.02, 1295.44, 1383.4, 1550.26, 1402.7, 1142.75, 1221.45, 1093.4, 1088.72, 1635.74, 1340.57, 1444.65, 1323.83, 1519.77, 1471.6, 978.57, 893.95, 856.29, 1439.98, 1381.38, 1217.05, 1202.36, 1482.52, 1269.46]","[14862.54, 5313.91, 5035.87, 4509.16, 4194.66, 4174.9, 5805.57, 3681.84, 2981.95, 4587.57, 4319.61, 3871.73, 3426.64, 8633.04, 3525.53, 3004.68, 3465.72, 4042.9, 5910.75, 5513.74, 5109.54, 6191.41, 5220.63, 2483.11]","[20734.2, 21346.85, 21075.36, 20479.25, 19361.6, 18464.98, 18973.9, 17376.72, 15902.74, 15403.06, 14223.94, 12608.86, 10951.82, 14906.65, 13757.05, 12286.2, 11053.9, 10232.79, 11486.32, 12535.37, 12962.15, 14478.91, 15033.29, 15082.06]"
en,4500,speaker_2,0.06206896551724138,0.04356181934657271,0.8057568073272705,"[526.83, 583.53, 586.73, 510.13, 548.75, 583.39, 556.14, 611.29, 582.33, 612.11, 595.71, 588.89, 572.48, 501.85, 524.11, 575.48, 594.55, 570.39, 560.09, 506.43, 617.44, 539.21, 549.84, 512.09, 557.08, 442.38]","[830.1, 1107.53, 1249.38, 1184.2, 969.33, 944.65, 997.44, 1421.31, 1548.17, 1273.15, 1056.35, 1163.43, 1390.21, 1112.32, 1001.41, 1161.64, 1372.8, 1391.13, 1403.17, 1194.93, 1166.53, 1269.33, 977.41, 787.17, 1023.29, 1005.33]","[10343.56, 9095.47, 4304.82, 4101.13, 4396.12, 3514.76, 2739.22, 8023.71, 4124.27, 3678.78, 3064.06, 5177.61, 5026.57, 3630.41, 4049.42, 4881.3, 3810.05, 5236.25, 4836.02, 4260.84, 3758.39, 4258.17, 3520.44, 3014.38, 4844.21, 2232.75]","[14063.41, 18454.87, 18254.51, 17054.83, 16764.69, 15587.02, 13646.16, 16600.33, 16033.01, 15038.42, 13005.41, 13495.22, 13836.26, 12390.89, 11757.83, 11763.65, 11090.75, 11655.2, 11599.9, 10385.15, 9661.63, 9230.95, 8068.21, 6406.91, 6425.06, 6624.34]"
en,4500,speaker_3,0.12460063897763578,0.08779576587795766,0.7018626928329468,"[523.09, 927.83, 624.12, 549.8, 569.64, 549.63, 562.35, 648.72, 609.96, 626.47, 587.34, 549.88, 544.97, 548.1, 572.68, 634.66, 608.03, 553.55, 569.66, 643.5, 633.26, 516.91, 659.34, 604.67, 806.31]","[657.07, 1003.83, 1389.64, 1434.93, 1124.6, 1109.5, 1113.76, 1249.9, 1468.94, 1371.24, 1226.71, 1085.4, 834.48, 1107.49, 1220.86, 980.88, 1512.27, 1429.33, 1274.32, 1145.33, 970.1, 1054.52, 1158.23, 1362.36, 1433.98]","[6851.41, 3362.04, 8218.72, 3599.37, 2864.6, 8126.4, 3904.56, 10411.79, 5028.83, 4638.15, 3509.43, 3900.25, 2769.85, 4342.41, 4899.33, 2828.98, 5764.16, 5542.78, 3788.84, 3862.52, 4996.54, 3834.38, 4371.23, 5139.65, 4531.77]","[11620.56, 9666.67, 12368.74, 11082.5, 9262.98, 12890.37, 11493.71, 17222.95, 17565.9, 17530.29, 16140.31, 15343.63, 13643.47, 13108.97, 13316.48, 10652.09, 11537.48, 12404.1, 11322.26, 10107.42, 9620.62, 8776.89, 8472.17, 8919.57, 8770.5]"
en,4500,speaker_4,0.1268882175226586,0.07705008255365987,0.7577545046806335,"[661.88, 570.3, 573.15, 580.38, 594.23, 538.64, 542.36, 530.37, 575.91, 610.32, 513.38, 575.71, 638.38, 587.75, 602.94, 485.6, 596.69, 568.47, 634.6, 628.15, 581.2, 649.37, 532.94, 541.95, 548.49]","[822.19, 1125.16, 1246.92, 1308.45, 1404.11, 1370.34, 1232.94, 1365.38, 1456.29, 1580.99, 1345.36, 1062.12, 1308.91, 1485.79, 1399.31, 1117.49, 1117.4, 1392.14, 1436.94, 1317.17, 988.94, 1362.45, 1367.79, 1125.98, 1154.0]","[5990.1, 9247.73, 4220.62, 4842.35, 6027.16, 3627.26, 4339.0, 7421.15, 5362.88, 5161.17, 4060.31, 4014.74, 4461.62, 4475.27, 4663.3, 3469.28, 4305.06, 4776.42, 4365.48, 4281.67, 3571.12, 9422.71, 3159.65, 4478.63, 3187.47]","[10553.03, 15116.93, 14850.62, 14620.79, 16149.7, 15104.0, 14773.67, 17718.94, 18404.01, 18886.88, 18274.55, 17802.45, 17582.32, 17378.44, 17362.58, 16350.2, 15971.02, 16064.41, 15131.55, 14944.31, 13830.44, 18162.14, 16437.78, 16240.25, 15148.14]"
en,4500,speaker_5,0.10133333333333333,0.07064935064935066,0.7970095276832581,"[619.79, 620.99, 595.54, 545.37, 534.83, 544.31, 543.33, 624.81, 532.32, 573.27, 680.53, 613.15, 662.36, 609.3, 730.38, 604.62, 642.63, 638.76, 584.05, 540.43, 597.51, 625.94, 567.35, 635.51, 568.03]","[1038.56, 1557.49, 1463.07, 1295.04, 1213.09, 1115.29, 1058.51, 1315.2, 1131.67, 917.84, 1570.03, 1878.44, 1486.19, 1488.06, 1800.66, 1777.7, 1702.27, 1866.38, 1465.7, 1174.12, 1352.31, 1200.2, 1097.74, 1564.69, 1570.24]","[15414.53, 8183.61, 3543.84, 4557.63, 3987.8, 4455.49, 2791.23, 5640.78, 2994.55, 3872.46, 8534.02, 8266.89, 4080.15, 6048.05, 6615.51, 5275.73, 5483.33, 5591.39, 5407.27, 4643.66, 4757.86, 3404.93, 4097.31, 4848.17, 4912.25]","[19500.56, 22989.54, 21216.89, 21074.54, 20365.57, 20148.32, 18449.17, 19411.97, 17318.89, 16508.02, 19555.19, 23344.26, 21746.18, 22308.99, 24222.55, 24837.97, 25846.23, 26763.74, 27502.32, 27260.5, 27336.21, 25466.99, 24697.63, 24886.0, 25124.29]"
en,4500,speaker_6,0.0759493670886076,0.052231237322515216,0.7492398023605347,"[592.15, 585.67, 617.29, 609.44, 613.5, 584.63, 634.68, 563.36, 673.47, 595.51, 567.17, 545.35, 538.42, 654.18, 527.61, 592.38, 568.3, 568.31, 536.71, 682.97, 564.69, 562.89, 648.44, 652.66, 668.99, 641.42, 502.84]","[991.54, 1279.47, 1307.93, 1365.77, 1419.39, 1464.24, 1570.56, 1540.43, 1555.05, 1622.16, 1270.58, 1212.04, 1135.76, 1449.56, 1306.4, 1029.05, 1250.26, 1174.66, 1028.25, 1280.64, 1361.97, 1253.79, 1639.42, 1785.69, 1780.39, 1736.32, 928.32]","[12791.77, 4330.73, 7111.96, 6278.66, 6583.36, 5534.0, 5523.68, 4764.05, 6127.18, 5529.99, 3841.76, 3966.75, 3862.62, 8051.61, 2697.97, 5321.27, 5115.47, 4170.69, 4895.99, 5118.83, 4716.93, 4876.87, 6318.35, 5306.39, 5681.03, 3638.19, 2360.66]","[17571.04, 17203.14, 19606.01, 21182.65, 23293.88, 24140.25, 24969.05, 25258.41, 26708.2, 27548.54, 26719.84, 26217.87, 25414.34, 28790.22, 27002.61, 27585.65, 27988.07, 27425.98, 27790.24, 28155.76, 28119.98, 28443.71, 29621.07, 30387.84, 30680.11, 29570.59, 31111.33]"
en,4500,speaker_7,0.13005780346820808,0.0913677130044843,0.772402822971344,"[542.92, 641.15, 637.89, 520.2, 556.78, 529.86, 575.58, 486.74, 599.74, 673.96, 522.81, 564.43, 633.11, 615.59, 609.89, 597.04, 539.89, 521.69, 595.73, 605.52, 596.64, 583.62, 580.35, 582.39, 580.54, 599.6]","[1124.63, 1097.32, 1292.85, 1212.03, 1190.53, 1365.73, 1304.28, 1053.14, 1098.98, 1595.61, 1389.56, 1095.0, 1396.77, 1311.49, 1387.3, 1338.77, 1232.05, 1102.97, 1300.85, 1427.81, 1389.12, 1358.83, 1366.18, 1314.67, 1436.7, 1384.68]","[11625.38, 3635.45, 6712.12, 3041.56, 4381.34, 3665.57, 3973.61, 3005.11, 5910.84, 14464.72, 4020.62, 4841.08, 4641.47, 4462.06, 5858.12, 5095.97, 5387.24, 4056.77, 4051.16, 4749.8, 4542.57, 5574.75, 4361.4, 4465.52, 5362.59, 2568.67]","[15945.62, 14578.08, 16524.03, 14776.02, 14651.72, 13555.32, 12768.11, 11038.78, 12401.13, 21489.92, 20765.33, 20860.0, 20784.79, 20673.62, 21786.42, 22105.39, 22954.83, 22261.91, 21590.16, 21367.1, 21167.7, 22016.54, 21414.79, 21139.08, 21744.86, 19575.48]"
en,4500,speaker_8,0.08285714285714285,0.05263157894736842,0.820549488067627,"[656.66, 536.01, 612.62, 604.39, 535.27, 529.01, 519.31, 573.48, 667.48, 563.49, 547.9, 599.07, 571.02, 562.36, 565.64, 608.6, 577.02, 516.3, 599.38, 613.2, 580.44, 609.01, 621.05, 563.56, 534.61, 6559.79]","[1579.73, 1461.49, 1123.21, 1188.14, 1147.89, 1100.53, 1277.07, 1370.5, 1405.49, 1253.0, 1262.23, 1288.68, 1310.3, 1475.79, 1367.05, 1377.57, 1483.8, 1278.94, 1327.32, 1380.32, 1264.92, 1342.91, 1602.27, 1771.29, 1763.44, 1131.43]","[15729.95, 3873.38, 3436.94, 4184.64, 4304.7, 3892.79, 5154.98, 4797.6, 5923.0, 5028.61, 4550.91, 5120.49, 6099.95, 5827.11, 4083.18, 5891.02, 5173.62, 5299.74, 5009.09, 4962.32, 6646.42, 4732.29, 4645.9, 4880.54, 4413.69, 3103.69]","[20441.99, 19540.26, 18192.62, 17595.58, 17340.29, 16484.95, 16898.99, 17164.79, 18319.31, 18621.34, 18451.36, 19031.67, 20377.23, 21435.77, 20963.72, 22146.28, 22575.15, 23158.44, 23632.64, 23872.01, 25151.57, 25357.31, 25278.77, 25404.96, 24904.31, 27598.35]"
en,4500,speaker_9,0.07466666666666667,0.054164537557485945,0.7961852550506592,"[1044.53, 656.45, 695.34, 742.55, 595.81, 642.7, 712.13, 713.08, 654.14, 651.62, 577.82, 614.32, 617.88, 642.05, 704.58, 650.14, 633.85, 613.41, 617.31, 687.16, 580.94, 556.41, 665.58, 623.44, 594.98]","[1391.8, 1587.73, 1769.24, 1982.54, 1692.27, 1459.51, 1739.01, 1920.88, 1753.49, 1639.58, 1321.88, 1391.92, 1482.39, 1203.93, 1692.84, 1607.47, 1598.58, 1441.36, 1498.83, 1701.06, 1549.08, 1212.3, 1327.27, 1542.78, 1294.56]","[17210.67, 5319.83, 8793.68, 14496.8, 4669.59, 5729.91, 5972.89, 6447.65, 6816.63, 5717.64, 4929.15, 5857.69, 7301.55, 4016.7, 5781.62, 5788.05, 5748.19, 4799.7, 5876.93, 4872.3, 5153.04, 5062.07, 5678.19, 5365.32, 4823.79]","[22095.44, 22632.48, 26644.73, 36382.23, 36049.34, 36584.61, 37794.06, 39496.64, 41543.93, 42519.56, 42692.09, 43163.24, 45312.21, 44592.61, 45012.44, 46246.52, 47270.93, 47302.87, 48467.87, 48826.29, 49218.17, 49540.14, 49831.35, 50444.5, 51340.86]"
